actions,cooperation_rate,payoffs,round
"{0: 1, 1: 0, 2: 0}",0.6666666666666666,"{0: 5.0, 1: 1.5, 2: 1.5}",399
"{0: 1, 1: 0, 2: 0}",0.6666666666666666,"{0: 5.0, 1: 1.5, 2: 1.5}",400
"{0: 0, 1: 0, 2: 0}",1.0,"{0: 3.0, 1: 3.0, 2: 3.0}",401
"{0: 0, 1: 0, 2: 0}",1.0,"{0: 3.0, 1: 3.0, 2: 3.0}",402
"{0: 1, 1: 0, 2: 0}",0.6666666666666666,"{0: 5.0, 1: 1.5, 2: 1.5}",403
"{0: 0, 1: 0, 2: 0}",1.0,"{0: 3.0, 1: 3.0, 2: 3.0}",404
"{0: 1, 1: 0, 2: 0}",0.6666666666666666,"{0: 5.0, 1: 1.5, 2: 1.5}",405
"{0: 1, 1: 0, 2: 0}",0.6666666666666666,"{0: 5.0, 1: 1.5, 2: 1.5}",406
"{0: 1, 1: 0, 2: 0}",0.6666666666666666,"{0: 5.0, 1: 1.5, 2: 1.5}",407
"{0: 0, 1: 0, 2: 0}",1.0,"{0: 3.0, 1: 3.0, 2: 3.0}",408
"{0: 0, 1: 0, 2: 0}",1.0,"{0: 3.0, 1: 3.0, 2: 3.0}",409
"{0: 0, 1: 0, 2: 0}",1.0,"{0: 3.0, 1: 3.0, 2: 3.0}",410
"{0: 1, 1: 0, 2: 0}",0.6666666666666666,"{0: 5.0, 1: 1.5, 2: 1.5}",411
"{0: 1, 1: 0, 2: 0}",0.6666666666666666,"{0: 5.0, 1: 1.5, 2: 1.5}",412
"{0: 0, 1: 0, 2: 0}",1.0,"{0: 3.0, 1: 3.0, 2: 3.0}",413
"{0: 1, 1: 0, 2: 0}",0.6666666666666666,"{0: 5.0, 1: 1.5, 2: 1.5}",414
"{0: 0, 1: 0, 2: 0}",1.0,"{0: 3.0, 1: 3.0, 2: 3.0}",415
"{0: 1, 1: 0, 2: 0}",0.6666666666666666,"{0: 5.0, 1: 1.5, 2: 1.5}",416
"{0: 0, 1: 0, 2: 0}",1.0,"{0: 3.0, 1: 3.0, 2: 3.0}",417
"{0: 0, 1: 0, 2: 0}",1.0,"{0: 3.0, 1: 3.0, 2: 3.0}",418
"{0: 1, 1: 0, 2: 0}",0.6666666666666666,"{0: 5.0, 1: 1.5, 2: 1.5}",419
"{0: 1, 1: 0, 2: 0}",0.6666666666666666,"{0: 5.0, 1: 1.5, 2: 1.5}",420
"{0: 0, 1: 0, 2: 0}",1.0,"{0: 3.0, 1: 3.0, 2: 3.0}",421
"{0: 0, 1: 0, 2: 0}",1.0,"{0: 3.0, 1: 3.0, 2: 3.0}",422
"{0: 1, 1: 0, 2: 0}",0.6666666666666666,"{0: 5.0, 1: 1.5, 2: 1.5}",423
"{0: 1, 1: 0, 2: 0}",0.6666666666666666,"{0: 5.0, 1: 1.5, 2: 1.5}",424
"{0: 0, 1: 0, 2: 0}",1.0,"{0: 3.0, 1: 3.0, 2: 3.0}",425
"{0: 1, 1: 0, 2: 0}",0.6666666666666666,"{0: 5.0, 1: 1.5, 2: 1.5}",426
"{0: 1, 1: 0, 2: 0}",0.6666666666666666,"{0: 5.0, 1: 1.5, 2: 1.5}",427
"{0: 1, 1: 0, 2: 0}",0.6666666666666666,"{0: 5.0, 1: 1.5, 2: 1.5}",428
"{0: 1, 1: 0, 2: 0}",0.6666666666666666,"{0: 5.0, 1: 1.5, 2: 1.5}",429
"{0: 0, 1: 0, 2: 0}",1.0,"{0: 3.0, 1: 3.0, 2: 3.0}",430
"{0: 1, 1: 0, 2: 0}",0.6666666666666666,"{0: 5.0, 1: 1.5, 2: 1.5}",431
"{0: 0, 1: 0, 2: 0}",1.0,"{0: 3.0, 1: 3.0, 2: 3.0}",432
"{0: 0, 1: 0, 2: 0}",1.0,"{0: 3.0, 1: 3.0, 2: 3.0}",433
"{0: 0, 1: 0, 2: 0}",1.0,"{0: 3.0, 1: 3.0, 2: 3.0}",434
"{0: 1, 1: 0, 2: 0}",0.6666666666666666,"{0: 5.0, 1: 1.5, 2: 1.5}",435
"{0: 1, 1: 0, 2: 0}",0.6666666666666666,"{0: 5.0, 1: 1.5, 2: 1.5}",436
"{0: 1, 1: 0, 2: 0}",0.6666666666666666,"{0: 5.0, 1: 1.5, 2: 1.5}",437
"{0: 0, 1: 0, 2: 0}",1.0,"{0: 3.0, 1: 3.0, 2: 3.0}",438
"{0: 0, 1: 0, 2: 0}",1.0,"{0: 3.0, 1: 3.0, 2: 3.0}",439
"{0: 0, 1: 0, 2: 0}",1.0,"{0: 3.0, 1: 3.0, 2: 3.0}",440
"{0: 1, 1: 0, 2: 0}",0.6666666666666666,"{0: 5.0, 1: 1.5, 2: 1.5}",441
"{0: 0, 1: 0, 2: 0}",1.0,"{0: 3.0, 1: 3.0, 2: 3.0}",442
"{0: 0, 1: 0, 2: 0}",1.0,"{0: 3.0, 1: 3.0, 2: 3.0}",443
"{0: 0, 1: 0, 2: 0}",1.0,"{0: 3.0, 1: 3.0, 2: 3.0}",444
"{0: 0, 1: 0, 2: 0}",1.0,"{0: 3.0, 1: 3.0, 2: 3.0}",445
"{0: 1, 1: 0, 2: 0}",0.6666666666666666,"{0: 5.0, 1: 1.5, 2: 1.5}",446
"{0: 0, 1: 0, 2: 0}",1.0,"{0: 3.0, 1: 3.0, 2: 3.0}",447
"{0: 1, 1: 0, 2: 0}",0.6666666666666666,"{0: 5.0, 1: 1.5, 2: 1.5}",448
"{0: 0, 1: 0, 2: 0}",1.0,"{0: 3.0, 1: 3.0, 2: 3.0}",449
"{0: 0, 1: 0, 2: 0}",1.0,"{0: 3.0, 1: 3.0, 2: 3.0}",450
"{0: 0, 1: 0, 2: 0}",1.0,"{0: 3.0, 1: 3.0, 2: 3.0}",451
"{0: 0, 1: 0, 2: 0}",1.0,"{0: 3.0, 1: 3.0, 2: 3.0}",452
"{0: 0, 1: 0, 2: 0}",1.0,"{0: 3.0, 1: 3.0, 2: 3.0}",453
"{0: 1, 1: 0, 2: 0}",0.6666666666666666,"{0: 5.0, 1: 1.5, 2: 1.5}",454
"{0: 1, 1: 0, 2: 0}",0.6666666666666666,"{0: 5.0, 1: 1.5, 2: 1.5}",455
"{0: 0, 1: 0, 2: 0}",1.0,"{0: 3.0, 1: 3.0, 2: 3.0}",456
"{0: 0, 1: 0, 2: 0}",1.0,"{0: 3.0, 1: 3.0, 2: 3.0}",457
"{0: 0, 1: 0, 2: 0}",1.0,"{0: 3.0, 1: 3.0, 2: 3.0}",458
"{0: 1, 1: 0, 2: 0}",0.6666666666666666,"{0: 5.0, 1: 1.5, 2: 1.5}",459
"{0: 0, 1: 0, 2: 0}",1.0,"{0: 3.0, 1: 3.0, 2: 3.0}",460
"{0: 0, 1: 0, 2: 0}",1.0,"{0: 3.0, 1: 3.0, 2: 3.0}",461
"{0: 1, 1: 0, 2: 0}",0.6666666666666666,"{0: 5.0, 1: 1.5, 2: 1.5}",462
"{0: 1, 1: 0, 2: 0}",0.6666666666666666,"{0: 5.0, 1: 1.5, 2: 1.5}",463
"{0: 1, 1: 0, 2: 0}",0.6666666666666666,"{0: 5.0, 1: 1.5, 2: 1.5}",464
"{0: 1, 1: 0, 2: 0}",0.6666666666666666,"{0: 5.0, 1: 1.5, 2: 1.5}",465
"{0: 0, 1: 0, 2: 0}",1.0,"{0: 3.0, 1: 3.0, 2: 3.0}",466
"{0: 1, 1: 0, 2: 0}",0.6666666666666666,"{0: 5.0, 1: 1.5, 2: 1.5}",467
"{0: 1, 1: 0, 2: 0}",0.6666666666666666,"{0: 5.0, 1: 1.5, 2: 1.5}",468
"{0: 1, 1: 0, 2: 0}",0.6666666666666666,"{0: 5.0, 1: 1.5, 2: 1.5}",469
"{0: 1, 1: 0, 2: 0}",0.6666666666666666,"{0: 5.0, 1: 1.5, 2: 1.5}",470
"{0: 1, 1: 0, 2: 0}",0.6666666666666666,"{0: 5.0, 1: 1.5, 2: 1.5}",471
"{0: 0, 1: 0, 2: 0}",1.0,"{0: 3.0, 1: 3.0, 2: 3.0}",472
"{0: 1, 1: 0, 2: 0}",0.6666666666666666,"{0: 5.0, 1: 1.5, 2: 1.5}",473
"{0: 0, 1: 0, 2: 0}",1.0,"{0: 3.0, 1: 3.0, 2: 3.0}",474
"{0: 1, 1: 0, 2: 0}",0.6666666666666666,"{0: 5.0, 1: 1.5, 2: 1.5}",475
"{0: 1, 1: 0, 2: 0}",0.6666666666666666,"{0: 5.0, 1: 1.5, 2: 1.5}",476
"{0: 0, 1: 0, 2: 0}",1.0,"{0: 3.0, 1: 3.0, 2: 3.0}",477
"{0: 0, 1: 0, 2: 0}",1.0,"{0: 3.0, 1: 3.0, 2: 3.0}",478
"{0: 0, 1: 0, 2: 0}",1.0,"{0: 3.0, 1: 3.0, 2: 3.0}",479
"{0: 0, 1: 0, 2: 0}",1.0,"{0: 3.0, 1: 3.0, 2: 3.0}",480
"{0: 1, 1: 0, 2: 0}",0.6666666666666666,"{0: 5.0, 1: 1.5, 2: 1.5}",481
"{0: 1, 1: 0, 2: 0}",0.6666666666666666,"{0: 5.0, 1: 1.5, 2: 1.5}",482
"{0: 1, 1: 0, 2: 0}",0.6666666666666666,"{0: 5.0, 1: 1.5, 2: 1.5}",483
"{0: 1, 1: 0, 2: 0}",0.6666666666666666,"{0: 5.0, 1: 1.5, 2: 1.5}",484
"{0: 0, 1: 0, 2: 0}",1.0,"{0: 3.0, 1: 3.0, 2: 3.0}",485
"{0: 0, 1: 0, 2: 0}",1.0,"{0: 3.0, 1: 3.0, 2: 3.0}",486
"{0: 0, 1: 0, 2: 0}",1.0,"{0: 3.0, 1: 3.0, 2: 3.0}",487
"{0: 0, 1: 0, 2: 0}",1.0,"{0: 3.0, 1: 3.0, 2: 3.0}",488
"{0: 0, 1: 0, 2: 0}",1.0,"{0: 3.0, 1: 3.0, 2: 3.0}",489
"{0: 0, 1: 0, 2: 0}",1.0,"{0: 3.0, 1: 3.0, 2: 3.0}",490
"{0: 1, 1: 0, 2: 0}",0.6666666666666666,"{0: 5.0, 1: 1.5, 2: 1.5}",491
"{0: 1, 1: 0, 2: 0}",0.6666666666666666,"{0: 5.0, 1: 1.5, 2: 1.5}",492
"{0: 1, 1: 0, 2: 0}",0.6666666666666666,"{0: 5.0, 1: 1.5, 2: 1.5}",493
"{0: 0, 1: 0, 2: 0}",1.0,"{0: 3.0, 1: 3.0, 2: 3.0}",494
"{0: 0, 1: 0, 2: 0}",1.0,"{0: 3.0, 1: 3.0, 2: 3.0}",495
"{0: 1, 1: 0, 2: 0}",0.6666666666666666,"{0: 5.0, 1: 1.5, 2: 1.5}",496
"{0: 0, 1: 0, 2: 0}",1.0,"{0: 3.0, 1: 3.0, 2: 3.0}",497
"{0: 0, 1: 0, 2: 0}",1.0,"{0: 3.0, 1: 3.0, 2: 3.0}",498
"{0: 1, 1: 0, 2: 0}",0.6666666666666666,"{0: 5.0, 1: 1.5, 2: 1.5}",499
"{0: 1, 1: 0, 2: 0}",0.6666666666666666,"{0: 5.0, 1: 1.5, 2: 1.5}",500
"{0: 0, 1: 0, 2: 0}",1.0,"{0: 3.0, 1: 3.0, 2: 3.0}",501
"{0: 0, 1: 0, 2: 0}",1.0,"{0: 3.0, 1: 3.0, 2: 3.0}",502
"{0: 0, 1: 0, 2: 0}",1.0,"{0: 3.0, 1: 3.0, 2: 3.0}",503
"{0: 0, 1: 0, 2: 0}",1.0,"{0: 3.0, 1: 3.0, 2: 3.0}",504
"{0: 1, 1: 0, 2: 0}",0.6666666666666666,"{0: 5.0, 1: 1.5, 2: 1.5}",505
"{0: 1, 1: 0, 2: 0}",0.6666666666666666,"{0: 5.0, 1: 1.5, 2: 1.5}",506
"{0: 1, 1: 0, 2: 0}",0.6666666666666666,"{0: 5.0, 1: 1.5, 2: 1.5}",507
"{0: 0, 1: 0, 2: 0}",1.0,"{0: 3.0, 1: 3.0, 2: 3.0}",508
"{0: 0, 1: 0, 2: 0}",1.0,"{0: 3.0, 1: 3.0, 2: 3.0}",509
"{0: 1, 1: 0, 2: 0}",0.6666666666666666,"{0: 5.0, 1: 1.5, 2: 1.5}",510
"{0: 1, 1: 0, 2: 0}",0.6666666666666666,"{0: 5.0, 1: 1.5, 2: 1.5}",511
"{0: 0, 1: 0, 2: 0}",1.0,"{0: 3.0, 1: 3.0, 2: 3.0}",512
"{0: 1, 1: 0, 2: 0}",0.6666666666666666,"{0: 5.0, 1: 1.5, 2: 1.5}",513
"{0: 1, 1: 0, 2: 0}",0.6666666666666666,"{0: 5.0, 1: 1.5, 2: 1.5}",514
"{0: 1, 1: 0, 2: 0}",0.6666666666666666,"{0: 5.0, 1: 1.5, 2: 1.5}",515
"{0: 1, 1: 0, 2: 0}",0.6666666666666666,"{0: 5.0, 1: 1.5, 2: 1.5}",516
"{0: 1, 1: 0, 2: 0}",0.6666666666666666,"{0: 5.0, 1: 1.5, 2: 1.5}",517
"{0: 1, 1: 0, 2: 0}",0.6666666666666666,"{0: 5.0, 1: 1.5, 2: 1.5}",518
"{0: 0, 1: 0, 2: 0}",1.0,"{0: 3.0, 1: 3.0, 2: 3.0}",519
"{0: 1, 1: 0, 2: 0}",0.6666666666666666,"{0: 5.0, 1: 1.5, 2: 1.5}",520
"{0: 0, 1: 0, 2: 0}",1.0,"{0: 3.0, 1: 3.0, 2: 3.0}",521
"{0: 0, 1: 0, 2: 0}",1.0,"{0: 3.0, 1: 3.0, 2: 3.0}",522
"{0: 1, 1: 0, 2: 0}",0.6666666666666666,"{0: 5.0, 1: 1.5, 2: 1.5}",523
"{0: 0, 1: 0, 2: 0}",1.0,"{0: 3.0, 1: 3.0, 2: 3.0}",524
"{0: 0, 1: 0, 2: 0}",1.0,"{0: 3.0, 1: 3.0, 2: 3.0}",525
"{0: 0, 1: 0, 2: 0}",1.0,"{0: 3.0, 1: 3.0, 2: 3.0}",526
"{0: 1, 1: 0, 2: 0}",0.6666666666666666,"{0: 5.0, 1: 1.5, 2: 1.5}",527
"{0: 1, 1: 0, 2: 0}",0.6666666666666666,"{0: 5.0, 1: 1.5, 2: 1.5}",528
"{0: 1, 1: 0, 2: 0}",0.6666666666666666,"{0: 5.0, 1: 1.5, 2: 1.5}",529
"{0: 0, 1: 0, 2: 0}",1.0,"{0: 3.0, 1: 3.0, 2: 3.0}",530
"{0: 0, 1: 0, 2: 0}",1.0,"{0: 3.0, 1: 3.0, 2: 3.0}",531
"{0: 1, 1: 0, 2: 0}",0.6666666666666666,"{0: 5.0, 1: 1.5, 2: 1.5}",532
"{0: 1, 1: 0, 2: 0}",0.6666666666666666,"{0: 5.0, 1: 1.5, 2: 1.5}",533
"{0: 0, 1: 0, 2: 0}",1.0,"{0: 3.0, 1: 3.0, 2: 3.0}",534
"{0: 0, 1: 0, 2: 0}",1.0,"{0: 3.0, 1: 3.0, 2: 3.0}",535
"{0: 1, 1: 0, 2: 0}",0.6666666666666666,"{0: 5.0, 1: 1.5, 2: 1.5}",536
"{0: 0, 1: 0, 2: 0}",1.0,"{0: 3.0, 1: 3.0, 2: 3.0}",537
"{0: 1, 1: 0, 2: 0}",0.6666666666666666,"{0: 5.0, 1: 1.5, 2: 1.5}",538
"{0: 0, 1: 0, 2: 0}",1.0,"{0: 3.0, 1: 3.0, 2: 3.0}",539
"{0: 0, 1: 0, 2: 0}",1.0,"{0: 3.0, 1: 3.0, 2: 3.0}",540
"{0: 0, 1: 0, 2: 0}",1.0,"{0: 3.0, 1: 3.0, 2: 3.0}",541
"{0: 0, 1: 0, 2: 0}",1.0,"{0: 3.0, 1: 3.0, 2: 3.0}",542
"{0: 1, 1: 0, 2: 0}",0.6666666666666666,"{0: 5.0, 1: 1.5, 2: 1.5}",543
"{0: 0, 1: 0, 2: 0}",1.0,"{0: 3.0, 1: 3.0, 2: 3.0}",544
"{0: 1, 1: 0, 2: 0}",0.6666666666666666,"{0: 5.0, 1: 1.5, 2: 1.5}",545
"{0: 0, 1: 0, 2: 0}",1.0,"{0: 3.0, 1: 3.0, 2: 3.0}",546
"{0: 0, 1: 0, 2: 0}",1.0,"{0: 3.0, 1: 3.0, 2: 3.0}",547
"{0: 1, 1: 0, 2: 0}",0.6666666666666666,"{0: 5.0, 1: 1.5, 2: 1.5}",548
"{0: 0, 1: 0, 2: 0}",1.0,"{0: 3.0, 1: 3.0, 2: 3.0}",549
"{0: 0, 1: 0, 2: 0}",1.0,"{0: 3.0, 1: 3.0, 2: 3.0}",550
"{0: 0, 1: 0, 2: 0}",1.0,"{0: 3.0, 1: 3.0, 2: 3.0}",551
"{0: 1, 1: 0, 2: 0}",0.6666666666666666,"{0: 5.0, 1: 1.5, 2: 1.5}",552
"{0: 0, 1: 0, 2: 0}",1.0,"{0: 3.0, 1: 3.0, 2: 3.0}",553
"{0: 1, 1: 0, 2: 0}",0.6666666666666666,"{0: 5.0, 1: 1.5, 2: 1.5}",554
"{0: 0, 1: 0, 2: 0}",1.0,"{0: 3.0, 1: 3.0, 2: 3.0}",555
"{0: 0, 1: 0, 2: 0}",1.0,"{0: 3.0, 1: 3.0, 2: 3.0}",556
"{0: 0, 1: 0, 2: 0}",1.0,"{0: 3.0, 1: 3.0, 2: 3.0}",557
"{0: 0, 1: 0, 2: 0}",1.0,"{0: 3.0, 1: 3.0, 2: 3.0}",558
"{0: 1, 1: 0, 2: 0}",0.6666666666666666,"{0: 5.0, 1: 1.5, 2: 1.5}",559
"{0: 1, 1: 0, 2: 0}",0.6666666666666666,"{0: 5.0, 1: 1.5, 2: 1.5}",560
"{0: 0, 1: 0, 2: 0}",1.0,"{0: 3.0, 1: 3.0, 2: 3.0}",561
"{0: 0, 1: 0, 2: 0}",1.0,"{0: 3.0, 1: 3.0, 2: 3.0}",562
"{0: 0, 1: 0, 2: 0}",1.0,"{0: 3.0, 1: 3.0, 2: 3.0}",563
"{0: 1, 1: 0, 2: 0}",0.6666666666666666,"{0: 5.0, 1: 1.5, 2: 1.5}",564
"{0: 1, 1: 0, 2: 0}",0.6666666666666666,"{0: 5.0, 1: 1.5, 2: 1.5}",565
"{0: 0, 1: 0, 2: 0}",1.0,"{0: 3.0, 1: 3.0, 2: 3.0}",566
"{0: 1, 1: 0, 2: 0}",0.6666666666666666,"{0: 5.0, 1: 1.5, 2: 1.5}",567
"{0: 1, 1: 0, 2: 0}",0.6666666666666666,"{0: 5.0, 1: 1.5, 2: 1.5}",568
"{0: 1, 1: 0, 2: 0}",0.6666666666666666,"{0: 5.0, 1: 1.5, 2: 1.5}",569
"{0: 1, 1: 0, 2: 0}",0.6666666666666666,"{0: 5.0, 1: 1.5, 2: 1.5}",570
"{0: 0, 1: 0, 2: 0}",1.0,"{0: 3.0, 1: 3.0, 2: 3.0}",571
"{0: 1, 1: 0, 2: 0}",0.6666666666666666,"{0: 5.0, 1: 1.5, 2: 1.5}",572
"{0: 1, 1: 0, 2: 0}",0.6666666666666666,"{0: 5.0, 1: 1.5, 2: 1.5}",573
"{0: 0, 1: 0, 2: 0}",1.0,"{0: 3.0, 1: 3.0, 2: 3.0}",574
"{0: 0, 1: 0, 2: 0}",1.0,"{0: 3.0, 1: 3.0, 2: 3.0}",575
"{0: 1, 1: 0, 2: 0}",0.6666666666666666,"{0: 5.0, 1: 1.5, 2: 1.5}",576
"{0: 1, 1: 0, 2: 0}",0.6666666666666666,"{0: 5.0, 1: 1.5, 2: 1.5}",577
"{0: 1, 1: 0, 2: 0}",0.6666666666666666,"{0: 5.0, 1: 1.5, 2: 1.5}",578
"{0: 1, 1: 0, 2: 0}",0.6666666666666666,"{0: 5.0, 1: 1.5, 2: 1.5}",579
"{0: 0, 1: 0, 2: 0}",1.0,"{0: 3.0, 1: 3.0, 2: 3.0}",580
"{0: 1, 1: 0, 2: 0}",0.6666666666666666,"{0: 5.0, 1: 1.5, 2: 1.5}",581
"{0: 0, 1: 0, 2: 0}",1.0,"{0: 3.0, 1: 3.0, 2: 3.0}",582
"{0: 0, 1: 0, 2: 0}",1.0,"{0: 3.0, 1: 3.0, 2: 3.0}",583
"{0: 1, 1: 0, 2: 0}",0.6666666666666666,"{0: 5.0, 1: 1.5, 2: 1.5}",584
"{0: 1, 1: 0, 2: 0}",0.6666666666666666,"{0: 5.0, 1: 1.5, 2: 1.5}",585
"{0: 0, 1: 0, 2: 0}",1.0,"{0: 3.0, 1: 3.0, 2: 3.0}",586
"{0: 0, 1: 0, 2: 0}",1.0,"{0: 3.0, 1: 3.0, 2: 3.0}",587
"{0: 1, 1: 0, 2: 0}",0.6666666666666666,"{0: 5.0, 1: 1.5, 2: 1.5}",588
"{0: 0, 1: 0, 2: 0}",1.0,"{0: 3.0, 1: 3.0, 2: 3.0}",589
"{0: 0, 1: 0, 2: 0}",1.0,"{0: 3.0, 1: 3.0, 2: 3.0}",590
"{0: 1, 1: 0, 2: 0}",0.6666666666666666,"{0: 5.0, 1: 1.5, 2: 1.5}",591
"{0: 0, 1: 0, 2: 0}",1.0,"{0: 3.0, 1: 3.0, 2: 3.0}",592
"{0: 1, 1: 0, 2: 0}",0.6666666666666666,"{0: 5.0, 1: 1.5, 2: 1.5}",593
"{0: 1, 1: 0, 2: 0}",0.6666666666666666,"{0: 5.0, 1: 1.5, 2: 1.5}",594
"{0: 0, 1: 0, 2: 0}",1.0,"{0: 3.0, 1: 3.0, 2: 3.0}",595
"{0: 0, 1: 0, 2: 0}",1.0,"{0: 3.0, 1: 3.0, 2: 3.0}",596
"{0: 0, 1: 0, 2: 0}",1.0,"{0: 3.0, 1: 3.0, 2: 3.0}",597
"{0: 1, 1: 0, 2: 0}",0.6666666666666666,"{0: 5.0, 1: 1.5, 2: 1.5}",598
"{0: 0, 1: 0, 2: 0}",1.0,"{0: 3.0, 1: 3.0, 2: 3.0}",599
