round,agent_id,move,payoff,q_cooperate,q_defect
0,0,cooperate,0.7894736842105263,,
0,1,cooperate,0.3157894736842105,,
0,2,cooperate,0.3157894736842105,,
0,3,cooperate,0.3157894736842105,,
0,4,defect,2.263157894736842,,
0,5,cooperate,0.631578947368421,,
0,6,defect,2.263157894736842,,
0,7,cooperate,0.15789473684210525,,
0,8,defect,1.4210526315789473,,
0,9,cooperate,0.631578947368421,,
0,10,defect,1.631578947368421,,
0,11,defect,1.631578947368421,,
0,12,defect,1.4210526315789473,,
0,13,cooperate,0.0,,
0,14,defect,1.4210526315789473,3.952152602746123,7.5879115579079235
0,15,defect,1.0,3.6566889381367242,7.802249676477665
0,16,defect,1.2105263157894737,4.210481687915202,7.232464214544486
0,17,defect,1.2105263157894737,4.27393650269984,7.73626465918886
0,18,cooperate,0.3157894736842105,,
0,19,defect,1.4210526315789473,3.694140969503111,7.090746810532353
1,0,defect,1.2105263157894737,,
1,1,defect,1.2105263157894737,,
1,2,defect,1.0,,
1,3,defect,1.2105263157894737,,
1,4,defect,1.631578947368421,,
1,5,defect,1.2105263157894737,,
1,6,defect,1.8421052631578947,,
1,7,cooperate,0.0,,
1,8,cooperate,0.0,,
1,9,defect,1.2105263157894737,,
1,10,defect,1.2105263157894737,,
1,11,defect,1.4210526315789473,,
1,12,defect,1.0,,
1,13,cooperate,0.0,,
1,14,defect,1.0,3.952152602746123,7.5879115579079235
1,15,cooperate,0.0,3.6566889381367242,7.802249676477665
1,16,defect,1.0,4.210481687915202,7.232464214544486
1,17,defect,1.2105263157894737,4.27393650269984,7.73626465918886
1,18,cooperate,0.0,,
1,19,defect,1.2105263157894737,3.694140969503111,7.090746810532353
2,0,defect,2.473684210526316,,
2,1,cooperate,0.631578947368421,,
2,2,cooperate,0.47368421052631576,,
2,3,defect,1.0,,
2,4,cooperate,0.47368421052631576,,
2,5,cooperate,0.631578947368421,,
2,6,cooperate,0.3157894736842105,,
2,7,defect,1.631578947368421,,
2,8,defect,1.4210526315789473,,
2,9,cooperate,0.3157894736842105,,
2,10,cooperate,0.3157894736842105,,
2,11,defect,1.2105263157894737,,
2,12,defect,1.2105263157894737,,
2,13,defect,1.4210526315789473,,
2,14,defect,1.4210526315789473,3.952152602746123,7.5879115579079235
2,15,defect,1.4210526315789473,3.6566889381367242,7.802249676477665
2,16,defect,1.4210526315789473,4.210481687915202,7.232464214544486
2,17,defect,1.2105263157894737,4.27393650269984,7.73626465918886
2,18,defect,1.4210526315789473,,
2,19,defect,1.2105263157894737,3.694140969503111,7.090746810532353
3,0,cooperate,0.9473684210526315,,
3,1,defect,1.8421052631578947,,
3,2,defect,1.631578947368421,,
3,3,cooperate,0.15789473684210525,,
3,4,defect,1.631578947368421,,
3,5,cooperate,0.47368421052631576,,
3,6,cooperate,0.47368421052631576,,
3,7,defect,1.4210526315789473,,
3,8,cooperate,0.3157894736842105,,
3,9,cooperate,0.3157894736842105,,
3,10,defect,1.4210526315789473,,
3,11,defect,2.052631578947368,,
3,12,cooperate,0.3157894736842105,,
3,13,cooperate,0.15789473684210525,,
3,14,defect,1.2105263157894737,3.952152602746123,7.5879115579079235
3,15,defect,1.0,3.6566889381367242,7.802249676477665
3,16,defect,1.2105263157894737,4.210481687915202,7.232464214544486
3,17,defect,1.0,4.27393650269984,7.73626465918886
3,18,defect,1.631578947368421,,
3,19,defect,1.4210526315789473,3.694140969503111,7.090746810532353
4,0,cooperate,0.7894736842105263,,
4,1,defect,1.8421052631578947,,
4,2,defect,1.631578947368421,,
4,3,defect,1.631578947368421,,
4,4,defect,1.8421052631578947,,
4,5,cooperate,0.47368421052631576,,
4,6,cooperate,0.7894736842105263,,
4,7,cooperate,0.3157894736842105,,
4,8,cooperate,0.3157894736842105,,
4,9,cooperate,0.47368421052631576,,
4,10,defect,1.631578947368421,,
4,11,cooperate,0.47368421052631576,,
4,12,defect,1.631578947368421,,
4,13,defect,1.4210526315789473,,
4,14,defect,1.2105263157894737,3.952152602746123,7.5879115579079235
4,15,cooperate,0.15789473684210525,3.6566889381367242,7.802249676477665
4,16,defect,1.4210526315789473,4.210481687915202,7.232464214544486
4,17,defect,1.4210526315789473,4.27393650269984,7.73626465918886
4,18,cooperate,0.3157894736842105,,
4,19,defect,1.631578947368421,3.694140969503111,7.090746810532353
5,0,defect,2.473684210526316,,
5,1,cooperate,0.3157894736842105,,
5,2,cooperate,0.47368421052631576,,
5,3,cooperate,0.0,,
5,4,defect,2.052631578947368,,
5,5,defect,1.631578947368421,,
5,6,cooperate,0.7894736842105263,,
5,7,cooperate,0.15789473684210525,,
5,8,cooperate,0.3157894736842105,,
5,9,cooperate,0.15789473684210525,,
5,10,defect,1.2105263157894737,,
5,11,defect,1.631578947368421,,
5,12,defect,1.0,,
5,13,cooperate,0.15789473684210525,,
5,14,cooperate,0.15789473684210525,3.952152602746123,7.5879115579079235
5,15,defect,1.0,3.6566889381367242,7.802249676477665
5,16,defect,1.4210526315789473,4.210481687915202,7.232464214544486
5,17,defect,1.2105263157894737,4.27393650269984,7.73626465918886
5,18,defect,1.631578947368421,,
5,19,defect,1.0,3.694140969503111,7.090746810532353
6,0,cooperate,1.263157894736842,,
6,1,cooperate,0.3157894736842105,,
6,2,cooperate,0.631578947368421,,
6,3,cooperate,0.3157894736842105,,
6,4,cooperate,0.7894736842105263,,
6,5,defect,2.473684210526316,,
6,6,defect,2.052631578947368,,
6,7,cooperate,0.15789473684210525,,
6,8,defect,1.4210526315789473,,
6,9,cooperate,0.47368421052631576,,
6,10,defect,1.4210526315789473,,
6,11,defect,1.631578947368421,,
6,12,cooperate,0.15789473684210525,,
6,13,defect,1.2105263157894737,,
6,14,cooperate,0.47368421052631576,3.952152602746123,7.5879115579079235
6,15,defect,1.4210526315789473,3.6566889381367242,7.802249676477665
6,16,defect,1.2105263157894737,4.210481687915202,7.232464214544486
6,17,defect,1.4210526315789473,4.27393650269984,7.73626465918886
6,18,cooperate,0.3157894736842105,,
6,19,cooperate,0.15789473684210525,3.694140969503111,7.090746810532353
7,0,defect,2.052631578947368,,
7,1,defect,1.8421052631578947,,
7,2,defect,1.2105263157894737,,
7,3,defect,1.4210526315789473,,
7,4,cooperate,0.47368421052631576,,
7,5,cooperate,0.47368421052631576,,
7,6,defect,2.263157894736842,,
7,7,cooperate,0.3157894736842105,,
7,8,cooperate,0.0,,
7,9,defect,1.4210526315789473,,
7,10,defect,1.2105263157894737,,
7,11,cooperate,0.47368421052631576,,
7,12,cooperate,0.3157894736842105,,
7,13,cooperate,0.3157894736842105,,
7,14,defect,1.2105263157894737,3.952152602746123,7.5879115579079235
7,15,defect,1.4210526315789473,3.6566889381367242,7.802249676477665
7,16,cooperate,0.15789473684210525,4.210481687915202,7.232464214544486
7,17,defect,1.631578947368421,4.27393650269984,7.73626465918886
7,18,cooperate,0.0,,
7,19,defect,1.2105263157894737,3.694140969503111,7.090746810532353
8,0,cooperate,0.631578947368421,,
8,1,defect,1.631578947368421,,
8,2,defect,1.4210526315789473,,
8,3,cooperate,0.3157894736842105,,
8,4,defect,1.631578947368421,,
8,5,cooperate,0.15789473684210525,,
8,6,cooperate,0.47368421052631576,,
8,7,defect,1.4210526315789473,,
8,8,defect,1.4210526315789473,,
8,9,defect,1.4210526315789473,,
8,10,defect,1.4210526315789473,,
8,11,cooperate,0.631578947368421,,
8,12,defect,1.631578947368421,,
8,13,cooperate,0.3157894736842105,,
8,14,defect,1.2105263157894737,3.952152602746123,7.5879115579079235
8,15,defect,1.2105263157894737,3.6566889381367242,7.802249676477665
8,16,defect,1.4210526315789473,4.210481687915202,7.232464214544486
8,17,defect,1.2105263157894737,4.27393650269984,7.73626465918886
8,18,defect,1.4210526315789473,,
8,19,defect,1.4210526315789473,3.694140969503111,7.090746810532353
9,0,cooperate,0.631578947368421,,
9,1,cooperate,0.3157894736842105,,
9,2,defect,1.4210526315789473,,
9,3,cooperate,0.47368421052631576,,
9,4,defect,1.8421052631578947,,
9,5,defect,1.8421052631578947,,
9,6,defect,2.473684210526316,,
9,7,cooperate,0.0,,
9,8,defect,1.4210526315789473,,
9,9,cooperate,0.3157894736842105,,
9,10,defect,1.4210526315789473,,
9,11,cooperate,0.631578947368421,,
9,12,defect,1.4210526315789473,,
9,13,cooperate,0.15789473684210525,,
9,14,defect,1.2105263157894737,3.952152602746123,7.5879115579079235
9,15,defect,1.2105263157894737,3.6566889381367242,7.802249676477665
9,16,cooperate,0.3157894736842105,4.210481687915202,7.232464214544486
9,17,defect,1.4210526315789473,4.27393650269984,7.73626465918886
9,18,cooperate,0.3157894736842105,,
9,19,defect,1.2105263157894737,3.694140969503111,7.090746810532353
10,0,defect,2.263157894736842,,
10,1,defect,1.4210526315789473,,
10,2,cooperate,0.3157894736842105,,
10,3,cooperate,0.15789473684210525,,
10,4,defect,1.8421052631578947,,
10,5,cooperate,0.3157894736842105,,
10,6,cooperate,0.47368421052631576,,
10,7,cooperate,0.3157894736842105,,
10,8,defect,1.2105263157894737,,
10,9,defect,1.631578947368421,,
10,10,defect,1.2105263157894737,,
10,11,defect,1.631578947368421,,
10,12,cooperate,0.15789473684210525,,
10,13,defect,1.2105263157894737,,
10,14,cooperate,0.15789473684210525,3.952152602746123,7.5879115579079235
10,15,defect,1.0,3.6566889381367242,7.802249676477665
10,16,defect,1.2105263157894737,4.210481687915202,7.232464214544486
10,17,defect,1.2105263157894737,4.27393650269984,7.73626465918886
10,18,cooperate,0.3157894736842105,,
10,19,defect,1.2105263157894737,3.694140969503111,7.090746810532353
11,0,cooperate,0.9473684210526315,,
11,1,cooperate,0.47368421052631576,,
11,2,defect,1.631578947368421,,
11,3,cooperate,0.3157894736842105,,
11,4,defect,2.052631578947368,,
11,5,cooperate,0.631578947368421,,
11,6,defect,2.052631578947368,,
11,7,cooperate,0.15789473684210525,,
11,8,cooperate,0.3157894736842105,,
11,9,cooperate,0.47368421052631576,,
11,10,defect,1.631578947368421,,
11,11,defect,1.4210526315789473,,
11,12,defect,1.4210526315789473,,
11,13,defect,1.0,,
11,14,cooperate,0.15789473684210525,3.952152602746123,7.5879115579079235
11,15,defect,1.0,3.6566889381367242,7.802249676477665
11,16,defect,1.2105263157894737,4.210481687915202,7.232464214544486
11,17,defect,1.2105263157894737,4.27393650269984,7.73626465918886
11,18,cooperate,0.3157894736842105,,
11,19,defect,1.4210526315789473,3.694140969503111,7.090746810532353
12,0,cooperate,1.5789473684210527,,
12,1,cooperate,0.7894736842105263,,
12,2,cooperate,0.47368421052631576,,
12,3,cooperate,0.3157894736842105,,
12,4,cooperate,0.7894736842105263,,
12,5,defect,2.473684210526316,,
12,6,cooperate,1.1052631578947367,,
12,7,cooperate,0.3157894736842105,,
12,8,cooperate,0.47368421052631576,,
12,9,defect,1.4210526315789473,,
12,10,cooperate,0.3157894736842105,,
12,11,cooperate,0.7894736842105263,,
12,12,cooperate,0.3157894736842105,,
12,13,cooperate,0.47368421052631576,,
12,14,defect,1.631578947368421,3.952152602746123,7.5879115579079235
12,15,defect,1.8421052631578947,3.6566889381367242,7.802249676477665
12,16,defect,1.631578947368421,4.210481687915202,7.232464214544486
12,17,defect,1.631578947368421,4.27393650269984,7.73626465918886
12,18,defect,1.4210526315789473,,
12,19,cooperate,0.15789473684210525,3.694140969503111,7.090746810532353
13,0,cooperate,0.631578947368421,,
13,1,cooperate,0.3157894736842105,,
13,2,defect,1.4210526315789473,,
13,3,defect,1.4210526315789473,,
13,4,defect,1.8421052631578947,,
13,5,cooperate,0.7894736842105263,,
13,6,defect,1.8421052631578947,,
13,7,cooperate,0.15789473684210525,,
13,8,defect,1.4210526315789473,,
13,9,cooperate,0.47368421052631576,,
13,10,defect,1.631578947368421,,
13,11,defect,1.4210526315789473,,
13,12,cooperate,0.3157894736842105,,
13,13,defect,1.0,,
13,14,defect,1.2105263157894737,3.952152602746123,7.5879115579079235
13,15,defect,1.0,3.6566889381367242,7.802249676477665
13,16,defect,1.2105263157894737,4.210481687915202,7.232464214544486
13,17,defect,1.2105263157894737,4.27393650269984,7.73626465918886
13,18,cooperate,0.15789473684210525,,
13,19,defect,1.4210526315789473,3.694140969503111,7.090746810532353
14,0,cooperate,0.631578947368421,,
14,1,defect,1.8421052631578947,,
14,2,defect,1.631578947368421,,
14,3,defect,1.2105263157894737,,
14,4,cooperate,0.47368421052631576,,
14,5,defect,2.052631578947368,,
14,6,defect,2.052631578947368,,
14,7,cooperate,0.15789473684210525,,
14,8,cooperate,0.15789473684210525,,
14,9,cooperate,0.15789473684210525,,
14,10,defect,1.2105263157894737,,
14,11,defect,1.631578947368421,,
14,12,defect,1.2105263157894737,,
14,13,cooperate,0.15789473684210525,,
14,14,defect,1.4210526315789473,3.952152602746123,7.5879115579079235
14,15,defect,1.4210526315789473,3.6566889381367242,7.802249676477665
14,16,cooperate,0.0,4.210481687915202,7.232464214544486
14,17,defect,1.4210526315789473,4.27393650269984,7.73626465918886
14,18,defect,1.2105263157894737,,
14,19,cooperate,0.15789473684210525,3.694140969503111,7.090746810532353
15,0,cooperate,1.1052631578947367,,
15,1,defect,1.8421052631578947,,
15,2,cooperate,0.47368421052631576,,
15,3,cooperate,0.3157894736842105,,
15,4,cooperate,0.7894736842105263,,
15,5,cooperate,0.7894736842105263,,
15,6,defect,2.052631578947368,,
15,7,cooperate,0.3157894736842105,,
15,8,defect,1.2105263157894737,,
15,9,cooperate,0.47368421052631576,,
15,10,cooperate,0.3157894736842105,,
15,11,cooperate,0.47368421052631576,,
15,12,defect,1.631578947368421,,
15,13,cooperate,0.3157894736842105,,
15,14,defect,1.631578947368421,3.952152602746123,7.5879115579079235
15,15,defect,1.631578947368421,3.6566889381367242,7.802249676477665
15,16,defect,1.2105263157894737,4.210481687915202,7.232464214544486
15,17,defect,1.631578947368421,4.27393650269984,7.73626465918886
15,18,defect,1.4210526315789473,,
15,19,defect,1.4210526315789473,3.694140969503111,7.090746810532353
16,0,defect,1.631578947368421,,
16,1,cooperate,0.15789473684210525,,
16,2,defect,1.0,,
16,3,defect,1.4210526315789473,,
16,4,defect,1.631578947368421,,
16,5,defect,1.631578947368421,,
16,6,defect,2.052631578947368,,
16,7,cooperate,0.0,,
16,8,defect,1.2105263157894737,,
16,9,defect,1.2105263157894737,,
16,10,cooperate,0.15789473684210525,,
16,11,cooperate,0.15789473684210525,,
16,12,defect,1.2105263157894737,,
16,13,cooperate,0.15789473684210525,,
16,14,defect,1.0,3.952152602746123,7.5879115579079235
16,15,defect,1.4210526315789473,3.6566889381367242,7.802249676477665
16,16,defect,1.4210526315789473,4.210481687915202,7.232464214544486
16,17,defect,1.4210526315789473,4.27393650269984,7.73626465918886
16,18,cooperate,0.0,,
16,19,defect,1.0,3.694140969503111,7.090746810532353
17,0,defect,2.263157894736842,,
17,1,defect,1.4210526315789473,,
17,2,cooperate,0.47368421052631576,,
17,3,cooperate,0.15789473684210525,,
17,4,cooperate,0.631578947368421,,
17,5,defect,1.4210526315789473,,
17,6,cooperate,0.47368421052631576,,
17,7,cooperate,0.47368421052631576,,
17,8,defect,1.2105263157894737,,
17,9,defect,1.2105263157894737,,
17,10,defect,1.0,,
17,11,cooperate,0.47368421052631576,,
17,12,defect,1.2105263157894737,,
17,13,defect,1.631578947368421,,
17,14,cooperate,0.3157894736842105,3.952152602746123,7.5879115579079235
17,15,defect,1.4210526315789473,3.6566889381367242,7.802249676477665
17,16,defect,1.4210526315789473,4.210481687915202,7.232464214544486
17,17,cooperate,0.47368421052631576,4.27393650269984,7.73626465918886
17,18,defect,1.4210526315789473,,
17,19,defect,1.0,3.694140969503111,7.090746810532353
18,0,cooperate,1.1052631578947367,,
18,1,cooperate,0.47368421052631576,,
18,2,cooperate,0.3157894736842105,,
18,3,defect,1.631578947368421,,
18,4,defect,2.263157894736842,,
18,5,cooperate,0.7894736842105263,,
18,6,defect,2.6842105263157894,,
18,7,cooperate,0.15789473684210525,,
18,8,cooperate,0.3157894736842105,,
18,9,cooperate,0.631578947368421,,
18,10,defect,1.631578947368421,,
18,11,cooperate,0.47368421052631576,,
18,12,cooperate,0.47368421052631576,,
18,13,cooperate,0.15789473684210525,,
18,14,defect,1.4210526315789473,3.952152602746123,7.5879115579079235
18,15,defect,1.2105263157894737,3.6566889381367242,7.802249676477665
18,16,defect,1.4210526315789473,4.210481687915202,7.232464214544486
18,17,defect,1.4210526315789473,4.27393650269984,7.73626465918886
18,18,cooperate,0.15789473684210525,,
18,19,defect,1.4210526315789473,3.694140969503111,7.090746810532353
19,0,cooperate,0.9473684210526315,,
19,1,cooperate,0.631578947368421,,
19,2,defect,1.4210526315789473,,
19,3,cooperate,0.3157894736842105,,
19,4,cooperate,0.47368421052631576,,
19,5,cooperate,0.7894736842105263,,
19,6,defect,1.631578947368421,,
19,7,defect,1.4210526315789473,,
19,8,defect,1.4210526315789473,,
19,9,defect,1.631578947368421,,
19,10,cooperate,0.47368421052631576,,
19,11,defect,1.4210526315789473,,
19,12,defect,1.4210526315789473,,
19,13,defect,1.2105263157894737,,
19,14,defect,1.4210526315789473,3.952152602746123,7.5879115579079235
19,15,defect,1.631578947368421,3.6566889381367242,7.802249676477665
19,16,defect,1.2105263157894737,4.210481687915202,7.232464214544486
19,17,defect,1.2105263157894737,4.27393650269984,7.73626465918886
19,18,cooperate,0.15789473684210525,,
19,19,cooperate,0.3157894736842105,3.694140969503111,7.090746810532353
20,0,cooperate,0.47368421052631576,,
20,1,cooperate,0.3157894736842105,,
20,2,cooperate,0.15789473684210525,,
20,3,defect,1.4210526315789473,,
20,4,defect,1.8421052631578947,,
20,5,defect,1.631578947368421,,
20,6,defect,2.263157894736842,,
20,7,cooperate,0.0,,
20,8,defect,1.4210526315789473,,
20,9,defect,1.4210526315789473,,
20,10,defect,1.4210526315789473,,
20,11,cooperate,0.3157894736842105,,
20,12,defect,1.4210526315789473,,
20,13,defect,1.2105263157894737,,
20,14,defect,1.4210526315789473,3.952152602746123,7.5879115579079235
20,15,defect,1.2105263157894737,3.6566889381367242,7.802249676477665
20,16,cooperate,0.3157894736842105,4.210481687915202,7.232464214544486
20,17,defect,1.4210526315789473,4.27393650269984,7.73626465918886
20,18,defect,1.0,,
20,19,defect,1.2105263157894737,3.694140969503111,7.090746810532353
21,0,cooperate,0.7894736842105263,,
21,1,defect,1.8421052631578947,,
21,2,defect,1.4210526315789473,,
21,3,cooperate,0.15789473684210525,,
21,4,cooperate,0.47368421052631576,,
21,5,defect,2.052631578947368,,
21,6,defect,1.8421052631578947,,
21,7,cooperate,0.15789473684210525,,
21,8,cooperate,0.15789473684210525,,
21,9,defect,1.2105263157894737,,
21,10,cooperate,0.15789473684210525,,
21,11,defect,1.8421052631578947,,
21,12,cooperate,0.15789473684210525,,
21,13,cooperate,0.15789473684210525,,
21,14,defect,1.4210526315789473,3.952152602746123,7.5879115579079235
21,15,defect,1.4210526315789473,3.6566889381367242,7.802249676477665
21,16,defect,1.0,4.210481687915202,7.232464214544486
21,17,defect,1.4210526315789473,4.27393650269984,7.73626465918886
21,18,defect,1.2105263157894737,,
21,19,defect,1.2105263157894737,3.694140969503111,7.090746810532353
22,0,defect,2.263157894736842,,
22,1,cooperate,0.47368421052631576,,
22,2,defect,1.4210526315789473,,
22,3,cooperate,0.0,,
22,4,defect,1.4210526315789473,,
22,5,cooperate,0.47368421052631576,,
22,6,cooperate,0.15789473684210525,,
22,7,defect,1.4210526315789473,,
22,8,defect,1.4210526315789473,,
22,9,cooperate,0.15789473684210525,,
22,10,cooperate,0.3157894736842105,,
22,11,defect,1.4210526315789473,,
22,12,defect,1.2105263157894737,,
22,13,defect,1.2105263157894737,,
22,14,defect,1.0,3.952152602746123,7.5879115579079235
22,15,defect,1.2105263157894737,3.6566889381367242,7.802249676477665
22,16,defect,1.4210526315789473,4.210481687915202,7.232464214544486
22,17,defect,1.0,4.27393650269984,7.73626465918886
22,18,defect,1.631578947368421,,
22,19,defect,1.2105263157894737,3.694140969503111,7.090746810532353
23,0,cooperate,0.631578947368421,,
23,1,defect,1.631578947368421,,
23,2,defect,1.2105263157894737,,
23,3,cooperate,0.3157894736842105,,
23,4,defect,1.8421052631578947,,
23,5,cooperate,0.47368421052631576,,
23,6,defect,1.8421052631578947,,
23,7,cooperate,0.15789473684210525,,
23,8,cooperate,0.15789473684210525,,
23,9,defect,1.631578947368421,,
23,10,defect,1.631578947368421,,
23,11,defect,1.8421052631578947,,
23,12,cooperate,0.3157894736842105,,
23,13,defect,1.0,,
23,14,defect,1.2105263157894737,3.952152602746123,7.5879115579079235
23,15,cooperate,0.0,3.6566889381367242,7.802249676477665
23,16,defect,1.0,4.210481687915202,7.232464214544486
23,17,defect,1.2105263157894737,4.27393650269984,7.73626465918886
23,18,cooperate,0.15789473684210525,,
23,19,defect,1.631578947368421,3.694140969503111,7.090746810532353
24,0,defect,1.8421052631578947,,
24,1,cooperate,0.0,,
24,2,cooperate,0.0,,
24,3,defect,1.2105263157894737,,
24,4,defect,1.8421052631578947,,
24,5,defect,1.631578947368421,,
24,6,defect,2.052631578947368,,
24,7,cooperate,0.0,,
24,8,defect,1.2105263157894737,,
24,9,defect,1.2105263157894737,,
24,10,defect,1.2105263157894737,,
24,11,cooperate,0.3157894736842105,,
24,12,cooperate,0.15789473684210525,,
24,13,cooperate,0.15789473684210525,,
24,14,defect,1.2105263157894737,3.952152602746123,7.5879115579079235
24,15,defect,1.2105263157894737,3.6566889381367242,7.802249676477665
24,16,defect,1.4210526315789473,4.210481687915202,7.232464214544486
24,17,defect,1.4210526315789473,4.27393650269984,7.73626465918886
24,18,defect,1.0,,
24,19,defect,1.0,3.694140969503111,7.090746810532353
25,0,cooperate,0.631578947368421,,
25,1,defect,1.631578947368421,,
25,2,cooperate,0.3157894736842105,,
25,3,cooperate,0.15789473684210525,,
25,4,cooperate,0.3157894736842105,,
25,5,defect,1.4210526315789473,,
